PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,cross1
1,0,3,male,22.0,1,0,A/5 21171,7.25,S,7.25
2,1,1,female,38.0,1,0,PC 17599,71.2833,C,213.8499
3,1,3,female,26.0,0,0,STON/O2. 3101282,7.925,S,7.925
4,1,1,female,35.0,1,0,113803,53.1,S,159.3
5,0,3,male,35.0,0,0,373450,8.05,S,8.05
6,0,3,male,28.0,0,0,330877,8.4583,Q,8.4583
7,0,1,male,54.0,0,0,17463,51.8625,S,155.58749999999998
8,0,3,male,2.0,3,1,349909,21.075,S,21.075
9,1,3,female,27.0,0,2,347742,11.1333,S,11.1333
10,1,2,female,14.0,1,0,237736,30.0708,C,60.1416
11,1,3,female,4.0,1,1,PP 9549,16.7,S,16.7
12,1,1,female,58.0,0,0,113783,26.55,S,79.65
13,0,3,male,20.0,0,0,A/5. 2151,8.05,S,8.05
14,0,3,male,39.0,1,5,347082,31.275,S,31.275
15,0,3,female,14.0,0,0,350406,7.8542,S,7.8542
16,1,2,female,55.0,0,0,248706,16.0,S,32.0
17,0,3,male,2.0,4,1,382652,29.125,Q,29.125
18,1,2,male,28.0,0,0,244373,13.0,S,26.0
19,0,3,female,31.0,1,0,345763,18.0,S,18.0
20,1,3,female,28.0,0,0,2649,7.225,C,7.225
21,0,2,male,35.0,0,0,239865,26.0,S,52.0
22,1,2,male,34.0,0,0,248698,13.0,S,26.0
23,1,3,female,15.0,0,0,330923,8.0292,Q,8.0292
24,1,1,male,28.0,0,0,113788,35.5,S,106.5
25,0,3,female,8.0,3,1,349909,21.075,S,21.075
26,1,3,female,38.0,1,5,347077,31.3875,S,31.3875
27,0,3,male,28.0,0,0,2631,7.225,C,7.225
28,0,1,male,19.0,3,2,19950,263.0,S,789.0
29,1,3,female,28.0,0,0,330959,7.8792,Q,7.8792
30,0,3,male,28.0,0,0,349216,7.8958,S,7.8958
31,0,1,male,40.0,0,0,PC 17601,27.7208,C,83.1624
32,1,1,female,28.0,1,0,PC 17569,146.5208,C,439.5624
33,1,3,female,28.0,0,0,335677,7.75,Q,7.75
34,0,2,male,66.0,0,0,C.A. 24579,10.5,S,21.0
35,0,1,male,28.0,1,0,PC 17604,82.1708,C,246.5124
36,0,1,male,42.0,1,0,113789,52.0,S,156.0
37,1,3,male,28.0,0,0,2677,7.2292,C,7.2292
38,0,3,male,21.0,0,0,A./5. 2152,8.05,S,8.05
39,0,3,female,18.0,2,0,345764,18.0,S,18.0
40,1,3,female,14.0,1,0,2651,11.2417,C,11.2417
41,0,3,female,40.0,1,0,7546,9.475,S,9.475
42,0,2,female,27.0,1,0,11668,21.0,S,42.0
43,0,3,male,28.0,0,0,349253,7.8958,C,7.8958
44,1,2,female,3.0,1,2,SC/Paris 2123,41.5792,C,83.1584
45,1,3,female,19.0,0,0,330958,7.8792,Q,7.8792
46,0,3,male,28.0,0,0,S.C./A.4. 23567,8.05,S,8.05
47,0,3,male,28.0,1,0,370371,15.5,Q,15.5
48,1,3,female,28.0,0,0,14311,7.75,Q,7.75
49,0,3,male,28.0,2,0,2662,21.6792,C,21.6792
50,0,3,female,18.0,1,0,349237,17.8,S,17.8
51,0,3,male,7.0,4,1,3101295,39.6875,S,39.6875
52,0,3,male,21.0,0,0,A/4. 39886,7.8,S,7.8
53,1,1,female,49.0,1,0,PC 17572,76.7292,C,230.18760000000003
54,1,2,female,29.0,1,0,2926,26.0,S,52.0
55,0,1,male,65.0,0,1,113509,61.9792,C,185.9376
56,1,1,male,28.0,0,0,19947,35.5,S,106.5
57,1,2,female,21.0,0,0,C.A. 31026,10.5,S,21.0
58,0,3,male,28.5,0,0,2697,7.2292,C,7.2292
59,1,2,female,5.0,1,2,C.A. 34651,27.75,S,55.5
60,0,3,male,11.0,5,2,CA 2144,46.9,S,46.9
61,0,3,male,22.0,0,0,2669,7.2292,C,7.2292
62,1,1,female,38.0,0,0,113572,80.0,,240.0
63,0,1,male,45.0,1,0,36973,83.475,S,250.42499999999998
64,0,3,male,4.0,3,2,347088,27.9,S,27.9
65,0,1,male,28.0,0,0,PC 17605,27.7208,C,83.1624
66,1,3,male,28.0,1,1,2661,15.2458,C,15.2458
67,1,2,female,29.0,0,0,C.A. 29395,10.5,S,21.0
68,0,3,male,19.0,0,0,S.P. 3464,8.1583,S,8.1583
69,1,3,female,17.0,4,2,3101281,7.925,S,7.925
70,0,3,male,26.0,2,0,315151,8.6625,S,8.6625
71,0,2,male,32.0,0,0,C.A. 33111,10.5,S,21.0
72,0,3,female,16.0,5,2,CA 2144,46.9,S,46.9
73,0,2,male,21.0,0,0,S.O.C. 14879,73.5,S,147.0
74,0,3,male,26.0,1,0,2680,14.4542,C,14.4542
75,1,3,male,32.0,0,0,1601,56.4958,S,56.4958
76,0,3,male,25.0,0,0,348123,7.65,S,7.65
77,0,3,male,28.0,0,0,349208,7.8958,S,7.8958
78,0,3,male,28.0,0,0,374746,8.05,S,8.05
79,1,2,male,0.83,0,2,248738,29.0,S,58.0
80,1,3,female,30.0,0,0,364516,12.475,S,12.475
81,0,3,male,22.0,0,0,345767,9.0,S,9.0
82,1,3,male,29.0,0,0,345779,9.5,S,9.5
83,1,3,female,28.0,0,0,330932,7.7875,Q,7.7875
84,0,1,male,28.0,0,0,113059,47.1,S,141.3
85,1,2,female,17.0,0,0,SO/C 14885,10.5,S,21.0
86,1,3,female,33.0,3,0,3101278,15.85,S,15.85
87,0,3,male,16.0,1,3,W./C. 6608,34.375,S,34.375
88,0,3,male,28.0,0,0,SOTON/OQ 392086,8.05,S,8.05
89,1,1,female,23.0,3,2,19950,263.0,S,789.0
90,0,3,male,24.0,0,0,343275,8.05,S,8.05
91,0,3,male,29.0,0,0,343276,8.05,S,8.05
92,0,3,male,20.0,0,0,347466,7.8542,S,7.8542
93,0,1,male,46.0,1,0,W.E.P. 5734,61.175,S,183.52499999999998
94,0,3,male,26.0,1,2,C.A. 2315,20.575,S,20.575
95,0,3,male,59.0,0,0,364500,7.25,S,7.25
96,0,3,male,28.0,0,0,374910,8.05,S,8.05
97,0,1,male,71.0,0,0,PC 17754,34.6542,C,103.96260000000001
98,1,1,male,23.0,0,1,PC 17759,63.3583,C,190.0749
99,1,2,female,34.0,0,1,231919,23.0,S,46.0
100,0,2,male,34.0,1,0,244367,26.0,S,52.0
101,0,3,female,28.0,0,0,349245,7.8958,S,7.8958
102,0,3,male,28.0,0,0,349215,7.8958,S,7.8958
103,0,1,male,21.0,0,1,35281,77.2875,S,231.86249999999998
104,0,3,male,33.0,0,0,7540,8.6542,S,8.6542
105,0,3,male,37.0,2,0,3101276,7.925,S,7.925
106,0,3,male,28.0,0,0,349207,7.8958,S,7.8958
107,1,3,female,21.0,0,0,343120,7.65,S,7.65
108,1,3,male,28.0,0,0,312991,7.775,S,7.775
109,0,3,male,38.0,0,0,349249,7.8958,S,7.8958
110,1,3,female,28.0,1,0,371110,24.15,Q,24.15
111,0,1,male,47.0,0,0,110465,52.0,S,156.0
112,0,3,female,14.5,1,0,2665,14.4542,C,14.4542
113,0,3,male,22.0,0,0,324669,8.05,S,8.05
114,0,3,female,20.0,1,0,4136,9.825,S,9.825
115,0,3,female,17.0,0,0,2627,14.4583,C,14.4583
116,0,3,male,21.0,0,0,STON/O 2. 3101294,7.925,S,7.925
117,0,3,male,70.5,0,0,370369,7.75,Q,7.75
118,0,2,male,29.0,1,0,11668,21.0,S,42.0
119,0,1,male,24.0,0,1,PC 17558,247.5208,C,742.5624
120,0,3,female,2.0,4,2,347082,31.275,S,31.275
121,0,2,male,21.0,2,0,S.O.C. 14879,73.5,S,147.0
122,0,3,male,28.0,0,0,A4. 54510,8.05,S,8.05
123,0,2,male,32.5,1,0,237736,30.0708,C,60.1416
